Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost
intervention hours,1222.3136727272727,1338.7885420947264,116.47486936745352,307.4133670909091,265.588260666158,-41.825106424751084,212.91189132454693,225.47103836189368,12.55914703734674,0.7610074819829454,0.803162299654153,0.04215481767120751,0,0.9244551515295807,0.627957351867337,"NA","NA","NA"
peak period,364.34880909090913,362.45658348096737,-1.8922256099417623,81.19360404545455,80.77192950417741,-0.42167454127714166,79.09036077461762,78.3116484517256,-0.7787123228920149,0.2839792141467864,0.2820607168764762,-0.0019184972703101936,-3.3573702230428387e-4,-0.04207264513790254,-0.03893561614460075,"NA","NA","NA"
other,3386.296159090909,1933.4200819951623,-1452.876077095747,350.90674645454544,210.3700142339719,-140.53673222057355,683.4101153852121,396.11903938834837,-287.29107599686375,2.508705090898555,1.4543423076988917,-1.054362783199663,0,-23.12217583556861,-14.364553799843188,"NA","NA","NA"
Total,4972.958640909091,3634.6652075708557,-1338.2934333382352,739.5137175909091,556.7302044043073,-182.7835131866018,975.4123674843767,699.9017262019677,-275.510641282409,3.5536917870282867,2.539565324229521,-1.0141264627987656,0,-22.23979332917693,-13.77553206412045,-0.00168101501422975,0,61.0851438408341
