Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost
intervention hours,186.3526870967742,203.67108887061676,17.318401773842563,47.10605496774193,40.73608247373781,-6.369972494004124,32.504446991726816,34.37183997967991,1.8673929879530942,0.11617574981913871,0.12244366042593136,0.006267910606792648,0,0.13745527960696277,0.09336964939765471,"NA","NA","NA"
peak period,188.53429032258066,187.62629445671502,-0.907995865865642,36.606069741935485,36.42977205129047,-0.17629769064501488,42.71410513880341,42.35648115871012,-0.3576239800932943,0.15381155614638709,0.15289095366591976,-9.206024804673205e-4,-1.6110543408178108e-4,-0.02018881239664834,-0.017881199004664717,"NA","NA","NA"
other,542.7252,367.47131645401413,-175.25388354598584,55.478550451612904,38.848357616958566,-16.630192834654338,114.95036418873143,80.0745562940605,-34.87580789467093,0.4227646980040129,0.2947238303509656,-0.12804086765304729,0,-2.807936227631327,-1.7437903947335465,"NA","NA","NA"
Total,917.6121774193548,758.768699781346,-158.84347763800892,139.19067516129033,116.01421214198685,-23.176463019303483,190.16891631926165,156.80287743245054,-33.366038886811126,0.6927520039695387,0.5700584444428167,-0.12269355952672195,0,-2.6906697604210126,-1.6683019443405565,-0.000187827580820738,0,6.82532558875919
