Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost,PropDemandChange,PropCO2Change,PropNOXChange,PropCustCostChange
intervention hours,525.5386045454545,393.4113183392695,-132.12728620618503,47.40174445454545,39.236386541963114,-8.165357912582337,114.42657104171519,82.48001140883764,-31.946559632877545,0.41631980280344544,0.28949909835965093,-0.12682070444379456,0,-2.7811780484524147,-1.5973279816438772,"NA","NA","NA",-0.2514130932787777,-0.27918829815525237,-0.3046232814048234,-0.1722585952593427
peak period,181.07461818181818,3.746414646611563,-177.3282035352066,17.942504818181817,1.4611017121785097,-16.481403106003306,40.67273407832677,3.0166401808171504,-37.656093897509614,0.1463613114468227,0,-0.1463613114468227,-0.025613229503193974,-3.209703560028822,-1.8828046948754809,"NA","NA","NA",-0.9793101060533521,-0.9258313892789266,-1,-0.9185675730905798
other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","NA",NaN,NaN,NaN,NaN
Total,525.5386045454545,393.4113183392695,-132.12728620618503,47.40174445454545,39.236386541963114,-8.165357912582337,114.42657104171519,82.48001140883764,-31.946559632877545,0.41631980280344544,0.28949909835965093,-0.12682070444379456,0,-2.7811780484524147,-1.5973279816438772,6.33338469886087e-06,0,-0.360886076887376,-0.2514130932787777,-0.27918829815525237,-0.3046232814048234,-0.1722585952593427
