Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,2.9013539724292214,0.05,2.9327681818181817,2.9327681818181817,0.13,2.9013539724292214,-0.03141420938896011,0,1,1.3364911107852617,0.05,2.9327681818181817,2.9327681818181817,0.13,1.3364911107852617,-1.59627707103292,0,1,5.386401831389574,0.05,2.9327681818181817,2.9327681818181817,0.13,5.386401831389574,2.4536336495713926,0,1
2,1.8276488216515465,0.05,1.9395272727272728,1.9395272727272728,0.13,1.8276488216515465,-0.11187845107572626,0,1,0.8838615255020126,0.05,1.9395272727272728,1.9395272727272728,0.13,0.8838615255020126,-1.0556657472252602,0,1,3.1686995531708693,0.05,1.9395272727272728,1.9395272727272728,0.13,3.1686995531708693,1.2291722804435965,0,1
3,1.5703078291809467,0.05,1.7150227272727272,1.715022727272727,0.13,1.5703078291809467,-0.14471489809178026,0,1,0.781552610944412,0.05,1.7150227272727272,1.715022727272727,0.13,0.781552610944412,-0.933470116328315,0,1,2.6106267381373893,0.05,1.7150227272727272,1.715022727272727,0.13,2.6106267381373893,0.8956040108646623,0,1
4,1.297391336699076,0.05,1.4388318181818183,1.438831818181818,0.13,1.297391336699076,-0.14144048148274224,0,1,0.6556897155515485,0.05,1.4388318181818183,1.438831818181818,0.13,0.6556897155515485,-0.7831421026302695,0,1,2.1171643080215254,0.05,1.4388318181818183,1.438831818181818,0.13,2.1171643080215254,0.6783324898397074,0,1
5,1.6198089686685908,0.05,1.8041045454545455,1.8041045454545455,0.13,1.6198089686685908,-0.1842955767859547,0,1,0.8221480657337432,0.05,1.8041045454545455,1.8041045454545455,0.13,0.8221480657337432,-0.9819564797208022,0,1,2.6551529480675833,0.05,1.8041045454545455,1.8041045454545455,0.13,2.6551529480675833,0.8510484026130378,0,1
6,3.991657943583337,0.05,4.411490909090909,4.411490909090909,0.13,3.991657943583337,-0.41983296550757215,0,1,2.010359503305438,0.05,4.411490909090909,4.411490909090909,0.13,2.010359503305438,-2.401131405785471,0,1,6.7307763789766035,0.05,4.411490909090909,4.411490909090909,0.13,6.7307763789766035,2.3192854698856946,0,1
7,11.795939660895817,0.05,12.700009090909091,12.70000909090909,0.13,11.795939660895817,-0.9040694300132721,0,1,5.7875182096285736,0.05,12.700009090909091,12.70000909090909,0.13,5.7875182096285736,-6.912490881280516,0,1,21.023162752039447,0.05,12.700009090909091,12.70000909090909,0.13,21.023162752039447,8.323153661130357,0,1
8,18.586102072854136,0.05,18.72375,18.72375,0.13,18.586102072854136,-0.13764792714586327,2843,1,8.532595788069322,0.05,18.72375,18.72375,0.13,8.532595788069322,-10.191154211930677,2843,1,36.35732633199274,0.05,18.72375,18.72375,0.13,36.35732633199274,17.63357633199274,2843,1
9,17.956748717277957,0.12,10.399881818181818,10.399881818181816,0.13,17.956748717277957,7.556866899096142,10667,1,9.218210177774244,0.12,10.399881818181818,10.399881818181816,0.13,9.218210177774244,-1.181671640407572,10667,1,54.50602158038749,0.12,10.399881818181818,10.399881818181816,0.13,54.50602158038749,44.10613976220567,10667,1
10,23.941589725816222,0.12,11.895231818181818,11.895231818181818,0.13,23.941589725816222,12.046357907634404,24759,1,10.54365318090874,0.12,11.895231818181818,11.895231818181818,0.13,10.54365318090874,-1.3515786372730787,24759,1,76.66689551476307,0.12,11.895231818181818,11.895231818181818,0.13,76.66689551476307,64.77166369658126,24759,1
