Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,17.20410515895778,0.06,18.810022727272727,18.810022727272727,0.13,17.17703036716269,-1.6059175683149485,0,1,0,0.06,18.810022727272727,18.810022727272727,0.13,-2.4316728221086894,-18.810022727272727,0,1,28.175965853467645,0.06,18.810022727272727,18.810022727272727,0.13,28.175965853467645,9.365943126194917,0,1
2,13.750055332890494,0.06,15.033554545454546,15.033554545454546,0.13,13.728416318139695,-1.2834992125640527,0,1,0,0.06,15.033554545454546,15.033554545454546,0.13,-1.943468465610449,-15.033554545454546,0,1,22.519107269063166,0.06,15.033554545454546,15.033554545454546,0.13,22.519107269063166,7.48555272360862,0,1
3,10.268346434442172,0.06,11.226845454545455,11.226845454545455,0.13,10.252186724929608,-0.9584990201032817,0,1,0,0.06,11.226845454545455,11.226845454545455,0.13,-1.4513547041200674,-11.226845454545455,0,1,16.816950131101493,0.06,11.226845454545455,11.226845454545455,0.13,16.816950131101493,5.590104676556038,0,1
4,7.493051824411124,0.06,8.192490909090909,8.192490909090909,0.13,7.481259707577304,-0.6994390846797852,0,1,0,0.06,8.192490909090909,8.192490909090909,0.13,-1.0590873694227216,-8.192490909090909,0,1,12.27172063831195,0.06,8.192490909090909,8.192490909090909,0.13,12.27172063831195,4.079229729221041,0,1
5,5.8483368684698975,0.06,6.39425,6.39425,0.13,5.839133105670359,-0.5459131315301025,0,1,0,0.06,6.39425,6.39425,0.13,-0.826619093884684,-6.39425,0,1,9.578094203858392,0.06,6.39425,6.39425,0.13,9.578094203858392,3.183844203858391,0,1
6,6.087419678403514,0.06,6.65565,6.65565,0.13,6.077839661376224,-0.5682303215964856,0,1,0,0.06,6.65565,6.65565,0.13,-0.8604116780253497,-6.65565,0,1,9.96965127855653,0.06,6.65565,6.65565,0.13,9.96965127855653,3.31400127855653,0,1
7,13.2665765769188,0.06,14.504945454545455,14.504945454545455,0.13,13.24569843211935,-1.2383688776266553,0,1,0,0.06,14.504945454545455,14.504945454545455,0.13,-1.8751323248986402,-14.504945454545455,0,1,21.72729154872955,0.06,14.504945454545455,14.504945454545455,0.13,21.72729154872955,7.222346094184095,0,1
8,20.045352500726796,0.06,21.916486363636363,21.916486363636366,0.13,20.013806323788103,-1.8711338629095704,11,1,0,0.06,21.916486363636363,21.916486363636366,0.13,-2.8332620868819856,-21.916486363636366,11,1,32.829209212728145,0.06,21.916486363636363,21.916486363636366,0.13,32.829209212728145,10.912722849091779,11,1
9,15.172974306381759,0.09,11.592540909090909,11.592540909090909,0.07,15.172974306381759,3.5804333972908506,11488,1,3.38930899437152,0.09,11.592540909090909,11.592540909090909,0.07,3.38930899437152,-8.203231914719389,11488,1,21.499406691197876,0.09,11.592540909090909,11.592540909090909,0.07,21.499406691197876,9.906865782106967,11488,1
10,19.583690344914647,0.09,14.962440909090908,14.962440909090908,0.07,19.583690344914647,4.621249435823738,32469,1,4.3745660203938055,0.09,14.962440909090908,14.962440909090908,0.07,4.3745660203938055,-10.587874888697103,32469,1,27.74918844110324,0.09,14.962440909090908,14.962440909090908,0.07,27.74918844110324,12.786747532012331,32469,1
11,25.338019131026158,0.09,19.358895454545454,19.358895454545454,0.07,25.338019131026158,5.979123676480703,43260,1,5.659956604831537,0.09,19.358895454545454,19.358895454545454,0.07,5.659956604831537,-13.698938849713917,43260,1,35.90280765308886,0.09,19.358895454545454,19.358895454545454,0.07,35.90280765308886,16.543912198543403,43260,1
12,17.31759542755117,0.09,13.231086363636363,13.231086363636363,0.07,17.31759542755117,4.086509063914807,52447,1,3.868370219199493,0.09,13.231086363636363,13.231086363636363,0.07,3.868370219199493,-9.36271614443687,52447,1,24.538236175220717,0.09,13.231086363636363,13.231086363636363,0.07,24.538236175220717,11.307149811584354,52447,1
13,27.02871394266203,0.11,19.955722727272725,19.955722727272725,0.07,27.02871394266203,7.072991215389303,67105,1,6.628648331700742,0.11,19.955722727272725,19.955722727272725,0.07,6.628648331700742,-13.327074395571984,67105,1,38.134454450750994,0.11,19.955722727272725,19.955722727272725,0.07,38.134454450750994,18.17873172347827,67105,1
14,38.8439547204982,0.11,28.679100000000002,28.679100000000002,0.07,38.8439547204982,10.1648547204982,67271,1,9.52627328850743,0.11,28.679100000000002,28.679100000000002,0.07,9.52627328850743,-19.152826711492573,67271,1,54.80442114701599,0.11,28.679100000000002,28.679100000000002,0.07,54.80442114701599,26.125321147015985,67271,1
15,25.748379578249413,0.11,19.010431818181818,19.010431818181818,0.07,25.748379578249413,6.737947760067595,45859,1,6.314653138785285,0.11,19.010431818181818,19.010431818181818,0.07,6.314653138785285,-12.695778679396533,45859,1,36.32804765666528,0.11,19.010431818181818,19.010431818181818,0.07,36.32804765666528,17.31761583848346,45859,1
16,46.04455188606045,0.11,33.99541363636364,33.99541363636364,0.07,46.04455188606045,12.049138249696808,45860,1,11.292181444182418,0.11,33.99541363636364,33.99541363636364,0.07,11.292181444182418,-22.70323219218122,45860,1,64.96364830117692,0.11,33.99541363636364,33.99541363636364,0.07,64.96364830117692,30.96823466481328,45860,1
17,2.2685460961156982,0.11,46.85318636363636,46.85318636363636,0.39,1.1958636912231346,-44.58464026752066,12377,1,0,0.11,46.85318636363636,46.85318636363636,0.39,-4.4297558016529,-46.85318636363636,12377,1,5.111256694214872,0.11,46.85318636363636,46.85318636363636,0.39,5.111256694214872,-41.74192966942149,12377,1
18,1.7157598958677658,0.11,35.43627272727273,35.43627272727273,0.39,0.9044625391735495,-33.72051283140496,1730,1,0,0.11,35.43627272727273,35.43627272727273,0.39,-3.3503385123967004,-35.43627272727273,1730,1,3.865775206611568,0.11,35.43627272727273,35.43627272727273,0.39,3.865775206611568,-31.570497520661164,1730,1
19,0,0.09,46.48738181818182,46.48738181818181,0.39,-18.804145945454554,-46.48738181818181,0,1,0,0.09,46.48738181818182,46.48738181818181,0.39,-23.243690909090915,-46.48738181818181,0,1,0,0.09,46.48738181818182,46.48738181818181,0.39,-15.495793939393954,-46.48738181818181,0,1
20,0,0.09,38.73822727272727,38.73822727272727,0.39,-15.669612931818191,-38.73822727272727,0,1,0,0.09,38.73822727272727,38.73822727272727,0.39,-19.369113636363643,-38.73822727272727,0,1,0,0.09,38.73822727272727,38.73822727272727,0.39,-12.912742424242438,-38.73822727272727,0,1
21,0,0.09,13.55955,13.55955,0.39,-5.484837975000003,-13.55955,0,1,0,0.09,13.55955,13.55955,0.39,-6.7797750000000025,-13.55955,0,1,0,0.09,13.55955,13.55955,0.39,-4.519850000000005,-13.55955,0,1
22,25.914404101492842,0.09,25.20962727272727,25.20962727272727,0.13,25.914404101492842,0.7047768287655692,0,1,0.4799025060639259,0.09,25.20962727272727,25.20962727272727,0.13,0.4799025060639259,-24.729724766663345,0,1,39.190626299622664,0.09,25.20962727272727,25.20962727272727,0.13,39.190626299622664,13.980999026895393,0,1
23,40.389421532207876,0.09,39.290977272727275,39.290977272727275,0.13,40.389421532207876,1.098444259480599,0,1,0.7479618105770918,0.09,39.290977272727275,39.290977272727275,0.13,0.7479618105770918,-38.54301546215018,0,1,61.08134763691159,0.09,39.290977272727275,39.290977272727275,0.13,61.08134763691159,21.790370364184312,0,1
24,15.039629961298692,0.06,16.443504545454545,16.443504545454545,0.13,15.015961491121656,-1.4038745841558533,0,1,0,0.06,16.443504545454545,16.443504545454545,0.13,-2.1257402866094264,-16.443504545454545,0,1,24.631103816387736,0.06,16.443504545454545,16.443504545454545,0.13,24.631103816387736,8.187599270933191,0,1
