Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,15.446395454545454,15.446395454545454,15.117477752450023,0,-0.3289177020954313,0.9267837272727273,0.9070486651470013,-0.07187627674752646,0,0,3.6788909587527363,0.013740912593222727,-0.07833881787977419,-2.9260091185396843e-4,3.600552140872962,0.01344831168136876
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,13.573590909090909,13.57359090909091,13.284552968547453,0,-0.2890379405434561,0.8144154545454546,0.7970731781128472,-0.06308644987808307,0,0,3.2228263915896367,0.012043412858727273,-0.06862731529136346,-2.564541154301112e-4,3.1541990762982732,0.011786958743297162
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,12.328109090909091,12.328109090909091,12.065592614149438,0,-0.26251647675965456,0.7396865454545455,0.7239355568489663,-0.0569287175245868,0,0,2.9439664309848,0.011023684196109091,-0.06268923234389015,-2.347398708701923e-4,2.88127719864091,0.010788944325238898
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,13.384354545454546,13.384354545454546,13.099346230467637,0,-0.2850083149869091,0.8030612727272727,0.7859607738280582,-0.057273983597210455,0,0,3.2786846387264457,0.0122615811957,-0.06981676860721206,-2.6109982246760226e-4,3.2088678701192337,0.012000481373232398
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,39.25389545454546,39.25389545454546,38.418017522428684,0,-0.8358779321167736,2.3552337272727275,2.305081051345721,-0.1674380604528187,0,0,9.623511113476841,0.03594903148843637,-0.2049243896965731,-7.655036972559982e-4,9.418586723780267,0.03518352779118037
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,61.62849545454545,61.62849545454545,60.31616966513011,0,-1.3123257894153362,3.697709727272727,3.6189701799078065,-0.247715344350852,0,0,15.323503855863818,0.05722803599360454,-0.32630083122972375,-0.0012186217910737129,14.997203024634095,0.05600941420253083
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,154.2949909090909,154.2949909090909,75.50470591170362,0,-78.79028499738727,9.257699454545454,4.5302823547022175,-15.457813539307601,0,0,38.34993960276428,0.14332801154525454,-19.583284286362122,-0.07319002912034298,18.766655316402158,0.07013798242491157
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,460.0004272727273,460.0004272727273,225.1025569647245,11,-234.89787030800278,27.600025636363636,13.50615341788347,-64.61113575646282,-64.61113575646282,0,103.19698851482124,0.38304419579170906,-52.69723980051644,-0.19560039619695513,50.4997487143048,0.18744379959475393
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,524.5077863636363,524.5077863636363,256.6694221533,11488,-267.83836421033635,47.20570077272727,23.100247993796998,-99.73700671689421,-99.73700671689421,0,101.0632585958501,0.3710556903539454,-51.607656869582264,-0.1894785010235035,49.45560172626784,0.18157718933044192
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,868.3904636363636,868.3904636363636,424.94941791093765,32469,-443.44104572542597,78.15514172727272,38.24544761198439,-183.2952729241301,-183.2952729241301,0,156.42533650707264,0.5701070232819091,-79.87813973472484,-0.29112348092919943,76.5471967723478,0.27898354235270967
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,0,924.8135772727272,924.8135772727271,452.5602338981289,43260,-472.2533433745982,83.23322195454544,40.7304210508316,-207.40206986801024,-207.40206986801024,0,158.43037805887303,0.569770246449109,-80.90200832804187,-0.29095150682634296,77.52836973083116,0.27881873962276604
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1,406.64176363636363,406.64176363636363,506.4384840143564,52447,99.79672037799273,36.597758727272726,20.257539360574253,74.84754028349454,74.84754028349454,0,68.874692531598,0.24676242142745455,10.760790648479698,0.03611862863264388,79.6354831800777,0.28288105006009845
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,1,458.60941818181817,458.60941818181817,542.3434826999413,67105,83.73406451812315,50.447036,32.540608961996476,62.80054838859236,62.80054838859236,0,78.3421863758841,0.2794926307696363,9.028801096999922,0.030305200098528166,87.37098747288402,0.3097978308681645
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,1,563.294559090909,563.294559090909,666.142300728274,67271,102.84774163736498,61.9624015,39.96853804369644,77.13580622802374,77.13580622802374,0,99.73621361560072,0.35719972557808183,11.089773413763092,0.0372228603488784,110.82598702936382,0.3944225859269602
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,1,289.77900454545454,289.77900454545454,342.68758622876146,45859,52.90858168330692,31.8756905,20.561255173725687,39.68143626248019,39.68143626248019,0,52.84924081778674,0.18816307035851362,5.704978769298358,0.019148779699985807,58.5542195870851,0.20731185005849942
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,0,300.87995454545455,300.87995454545455,294.4729747716364,45860,-6.40697977381811,33.096795,32.39202722488,-2.5568037219863413,-2.5568037219863413,0,56.341375780554,0.20074379599322728,-1.199741124663595,-0.004274666428313931,55.14163465589041,0.19646912956491336
