Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,18.110632258064516,18.110632258064516,18.00693274050953,0,-0.10369951755498776,0.9055316129032258,0.9003466370254766,-0.022660790753684427,0,0,4.313436197302761,0.016110983018554837,-0.02469826819355452,-9.224974272318889e-5,4.288737929109207,0.01601873327583165
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,15.897174193548388,15.897174193548388,15.806148696985478,0,-0.09102549656290934,0.7948587096774195,0.7903074348492739,-0.019867548930588355,0,0,3.7745231078352,0.01410505395236129,-0.021612510248413232,-8.076401028437944e-5,3.752910597586787,0.01402428994207691
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,13.158977419354839,13.158977419354839,13.083630540766631,0,-0.07534687858820814,0.657948870967742,0.6541815270383315,-0.016339550265389913,0,0,3.142378730022329,0.011766639177590323,-0.017992920050224424,-6.737450071166843e-5,3.1243858099721047,0.011699264676878655
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,12.049903225806451,12.049903225806451,11.980906785853671,0,-0.06899643995277939,0.6024951612903227,0.5990453392926836,-0.01386521291599128,0,0,2.951792144359258,0.011039072993903226,-0.016901641915695893,-6.320853559446058e-5,2.934890502443562,0.010975864458308766
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,17.391432258064516,17.391432258064516,17.291850801765637,0,-0.09958145629888007,0.8695716129032258,0.8645925400882819,-0.019947560832868423,0,0,4.263695097689548,0.01592721279339355,-0.024413456047901877,-9.119749433016476e-5,4.239281641641647,0.015836015299063384
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,15.632377419354839,15.632377419354837,15.54286812042339,0,-0.08950929893144556,0.7816188709677419,0.7771434060211696,-0.01689582494396057,0,0,3.8868837198610318,0.014516178774480644,-0.02225587493569925,-8.311806645984356e-5,3.8646278449253324,0.014433060708020801
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,35.71377419354839,35.71377419354839,17.754640496512913,0,-17.959133697035476,1.7856887096774194,0.8877320248256457,-3.5233904792383477,0,0,8.876639968930096,0.033175310551419354,-4.463733323689511,-0.016682634392117587,4.412906645240585,0.016492676159301767
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,89.28265806451613,89.28265806451613,44.38571762026016,2843,-44.89694044425597,4.464132903225806,2.219285881013008,-12.349376817635708,-12.349376817635708,0,20.029767131920334,0.07434602650095483,-10.0722277038876,-0.03738586189569372,9.957539428032733,0.03696016460526111
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,63.17382903225806,63.17382903225806,31.406051266867557,10667,-31.767777765390505,7.5808594838709675,3.7687261520241067,-11.829608778073924,-11.829608778073924,0,12.172465663933476,0.044691440915264516,-6.121081941562084,-0.022473669631236797,6.051383722371392,0.02221777128402772
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,78.99427741935484,78.99427741935484,39.270982373960756,24759,-39.72329504539409,9.479313290322581,4.71251788487529,-16.41952696300385,-16.41952696300385,0,14.229435887299163,0.05186053306858065,-7.1554560475315006,-0.026078740430251674,7.073979839767662,0.025781792638328974
