Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,ChangeCurtCost
intervention hours,79.4343409090909,92.16472863725691,12.730387728166,21.833449181818178,20.659315499645338,-1.1741336821728403,14.064313998800799,15.436994751213362,1.372680752412565,0.0502235123244,0.054830919711753294,0.004607407387353295,0,0.10104044400465777,0.06863403762062825,"NA"
peak period,212.24163181818182,228.85683595622277,16.615204138040944,45.33214509090909,50.02436302648957,4.69221793558048,46.642616528622696,53.84986105348944,7.207244524866746,0.16760638340237274,0.18445227303466624,0.016845889632293505,0.0029480306856513633,0.3694303596361966,0.3603622262433373,"NA"
other,152.35812272727273,158.0259666340427,5.667843906769994,22.434826409090906,24.16684908912844,1.7320226800375345,32.36837768425108,33.337685711607875,0.9693080273567967,0.1183213061087,0.12173233308657674,0.0034110269778767494,0,0.07480382162483712,0.04846540136783983,"NA"
Total,444.0340954545454,479.04753122752237,35.01343577297694,89.60042068181818,94.85052761526335,5.250106933445174,93.07530821167457,102.62454151631069,9.549233304636108,0.3361512018354727,0.3610155258329963,0.02486432399752355,0,0.5452746252656915,0.4774616652318054,-3.02113058419124
