Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost,PropDemandChange,PropCO2Change,PropNOXChange,PropCustCostChange
intervention hours,132,106,-26,19.65051318,18.28742943,-1.363083748,30.07,23.11,-6.96,0.11,0.08,-0.03,0,-0.640545463,-0.34789079,NA,NA,NA,-0.195296619,-0.231422246,-0.26662607,-0.069366318
peak period,55,11,-44,9.456653182,5.955585472,-3.50106771,12.98,2.92,-10.05,0.05,0.01,-0.04,-0.007034227,-0.881489108,-0.502688741,NA,NA,NA,-0.793544575,-0.774635747,-0.858273711,-0.370222704
other,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,NA,NA,NA,NaN,NaN,NaN,NaN
Total,132,106,-26,19.65051318,18.28742943,-1.363083748,30.07,23.11,-6.96,0.11,0.08,-0.03,0,-0.640545463,-0.34789079,-6.59E-06,0,0.239404695,-0.195296619,-0.231422246,-0.26662607,-0.069366318
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
other (really),77,95,18,10.19386,12.33184396,2.137983962,17.09,20.18,3.10,0.06,0.07,0.01,0.007034227,0.240943645,0.154797951,,,,0.237734138,0.181190683,0.175185584,
