Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost
intervention hours,4972.958641,3539.319697,-1433.638944,739.5137176,444.5414849,-294.9722327,975.4123675,647.070962,-328.3414055,3.553691787,2.325061176,-1.228630611,0,-26.9438693,-16.41707028,NA,NA,NA
peak period,364.3488091,209.1324722,-155.2163369,81.19360405,87.83563834,6.642034293,79.09036077,41.16316735,-37.92719342,0.283979214,0.135863073,-0.148116141,-0.025920325,-3.248186968,-1.896359671,NA,NA,NA
other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Total,4972.958641,3539.319697,-1433.638944,739.5137176,444.5414849,-294.9722327,975.4123675,647.070962,-328.3414055,3.553691787,2.325061176,-1.228630611,0,-26.9438693,-16.41707028,-0.001197651,0,43.52052957
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
12 to 15,1222.31,1524.37,302.06,,,,212.9118913,245.4817322,32.56984092,0.761007482,0.870328258,0.109320776,,,,,,
,3386.299832,1805.817225,-1580.482607,658.3201135,356.7058466,-301.6142669,683.4101154,360.4260624,-322.984053,2.508705091,1.318869844,-1.189835247,0.025920325,-23.69568233,-14.5207106,#VALUE!,#VALUE!,#VALUE!
