Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,12.71575,12.71575,12.261704123649164,0,-0.454045876350837,0.6357875000000001,0.6130852061824582,-0.09921973447083511,0,0,3.0285290731045,0.011311765895249999,-0.1081407810826511,-4.03913309005312e-4,2.920388292021849,0.010907852586244687
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,11.146645454545455,11.146645454545455,10.740964022018064,0,-0.40568143252739186,0.5573322727272728,0.5370482011009032,-0.08854547368932834,0,0,2.6465880244366184,0.009890061819163637,-0.09632239810995856,-3.599481532757139e-4,2.55026562632666,0.009530113665887923
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,11.036809090909092,11.036809090909092,10.627832438247307,0,-0.4089766526617848,0.5518404545454546,0.5313916219123653,-0.08868973338709696,0,0,2.6356025266506,0.009869015357809091,-0.09766408843515832,-3.65703242020294e-4,2.5379384382154417,0.009503312115788797
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,27.751772727272726,27.751772727272726,26.701715881911163,0,-1.0500568453615644,1.3875886363636365,1.3350857940955583,-0.21101468053708947,0,0,6.7981844495622274,0.025423759768499997,-0.2572260946155018,-9.619707267747188e-4,6.540958354946726,0.024461789041725277
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,94.48343636363637,94.48343636363637,90.80546999760982,0,-3.6779663660265527,4.724171818181818,4.540273499880491,-0.7367481914239065,0,0,23.163622090394274,0.0865286868893091,-0.9016926801427031,-0.0033683110217380455,22.26192941025157,0.08316037586757107
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,97.14877272727273,97.14877272727273,93.19789234063578,0,-3.9508803866369577,4.857438636363637,4.659894617031789,-0.7457703745202067,0,0,24.15537784103091,0.09021205890822727,-0.982359384115435,-0.003668775674389919,23.173018456915475,0.08654328323383735
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,250.70868636363636,250.70868636363636,239.70849233712005,0,-11.00019402651632,12.535434318181819,11.985424616856003,-2.158120739933015,0,0,62.31351337645622,0.23288881435428183,-2.7340924941895435,-0.010218322235499594,59.579420882266675,0.22267049211878223
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,712.0176590909091,712.0176590909091,675.6342364059325,2843,-36.383422684976644,35.600882954545455,33.78171182029663,-10.007643999928193,-10.007643999928193,0,159.73480421136745,0.5928999527956363,-8.162296011793355,-0.03029662160347079,151.5725081995741,0.5626033311921655
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,596.8184363636364,596.8184363636364,626.8747323803719,10667,30.05629601673564,71.61821236363636,75.22496788564463,11.192291315488985,11.192291315488985,0,114.99622605635119,0.42221084734734543,5.791310054388482,0.021262905828895395,120.78753611073967,0.4434737531762408
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,707.3702545454546,707.3702545454547,748.3386710485067,24759,40.968416503052055,84.88443054545456,89.80064052582081,16.93419487569505,16.93419487569505,0,127.42036530320658,0.4643956458116365,7.37974287605186,0.026896175118418703,134.80010817925844,0.4912918209300552
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,0,618.6500545454545,618.6500545454545,660.425145444926,7233,41.775090899471486,74.23800654545454,79.25101745339111,18.346593926815384,18.346593926815384,0,105.98131822071508,0.3811453494050182,7.156516304793909,0.025737299302437188,113.13783452550899,0.4068826487074554
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1,276.8094,276.8094,336.53527971287866,29088,59.72587971287865,33.217127999999995,23.557469579901504,44.79440978465899,44.79440978465899,0,46.884417735077996,0.167976248202,6.440068225210898,0.021616109837444466,53.3244859602889,0.18959235803944446
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,1,376.3461,376.3461,436.6661781302239,30410,60.32007813022393,109.14036899999999,104.79988275125373,45.240058597667954,45.240058597667954,0,64.28951333997269,0.2293584854535,6.5041389155952345,0.021831163317046907,70.79365225556792,0.2511896487705469
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,1,388.00785454545456,388.00785454545456,447.56074410480505,21709,59.55288955935051,112.52227781818182,107.41457858515321,44.66466716951288,44.66466716951288,0,68.70017407576437,0.24604586877149093,6.421415199146375,0.021553500895099255,75.12158927491075,0.2675993696665902
