Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost
intervention hours,186.3526870967742,220.14900581919812,33.79631872242394,47.10605496774193,44.32008327330524,-2.7859716944366966,32.504446991726816,36.14860592885254,3.644158937125722,0.11617574981913871,0.12840738108379582,0.012231631264657115,0,0.26823967363393053,0.1822079468562861,"NA","NA","NA"
peak period,188.53429032258066,199.45268056758403,10.918390245003392,36.606069741935485,39.74538031401632,3.139310572080838,42.71410513880341,47.40060364226714,4.6864985034637305,0.15381155614638709,0.1648815373215521,0.01106998117516502,0.0019372467056538783,0.24276468717136887,0.23432492517318654,"NA","NA","NA"
other,542.7252,372.54387954055267,-170.18132045944733,55.478550451612904,40.746972540234026,-14.731577911378878,114.95036418873143,80.66517819757568,-34.28518599115574,0.4227646980040129,0.2966592725006865,-0.12610542550332635,0,-2.765491981287947,-1.7142592995577872,"NA","NA","NA"
Total,917.6121774193548,792.1455659273348,-125.46661149202001,139.19067516129033,124.81243612755559,-14.378239033734744,190.16891631926165,164.21438776869536,-25.95452855056629,0.6927520039695387,0.5899481909060345,-0.10280381306350422,0,-2.2544876204826476,-1.2977264275283147,-0.000102803454897098,0,3.73569764491447
