Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost
intervention hours,307481.51291503967,208452.06752097755,-186283.21587153777,28529.545919987795,10748.228365640523,-17781.31755434727,58648.43282508465,13104.346324534134,-45544.08650055052,212.52212263563723,63.004740894358996,-149.51738174127823,0,-3278.9161815862317,-2277.204325027526,"NA","NA","NA"
peak period,33154.66184007016,6128.302792571889,-39499.865143898554,3382.6128256139414,1777.2078098458476,-1605.4050157680938,7192.673079747503,-8574.547744531828,-15767.220824279331,25.824107879036582,-14.224173392519859,-40.04828127155644,-7.008449222522376,-878.2588082852327,-788.3610412139666,"NA","NA","NA"
other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","NA"
Total,307481.51291503967,208452.06752097755,-186283.21587153777,28529.545919987795,10748.228365640523,-17781.31755434727,58648.43282508465,13104.346324534134,-45544.08650055052,212.52212263563723,63.004740894358996,-149.51738174127823,0,-3278.9161815862317,-2277.204325027526,-0.0402185081087749,0,8273.03594515517
