Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost
intervention hours,130.12186188811188,182.34287817255145,52.22101628443956,32.70131264141414,36.82168799944689,4.120375358032746,22.679160260536065,28.31000084887691,5.630840588340844,0.08106148925349425,0.09996142390919117,0.01889993465569693,0,0.41447556699943366,0.2815420294170422,"NA","NA","NA"
peak period,115.38290664335665,154.43422922439962,39.05132258104296,22.490437556332555,31.974465301358457,9.484027745025902,26.12371667073587,42.023516256058066,15.899799585322196,0.09406654513488935,0.13366005627864752,0.03959351114375816,0.006928864450157678,0.8682856993826165,0.7949899792661098,"NA","NA","NA"
other,384.5554322843823,433.9704186620721,49.41498637768985,39.013076843045845,48.9506850146801,9.937608171634253,80.82901647630935,88.76378929147555,7.934772815166201,0.2972190100722129,0.325391489668357,0.02817247959614411,0,0.6178224775434403,0.39673864075831006,"NA","NA","NA"
Total,630.0602008158509,770.7475260590231,140.68732524317235,94.20482704079254,117.74683831548543,23.542011274692896,129.6318934075813,159.09730639641052,29.46541298882924,0.4723470444605965,0.5590129698561958,0.08666592539559921,0,1.9005837439254907,1.473270649441462,0.000317810189535919,0,-11.5486661199036
