Time,Xinitial,Xfinal,Xchange,CustCostInitial,CustCostFinal,CustCostChange,CO2Initial,CO2Final,CO2Change,NOXInitial,NOXFinal,NOXChange,NOXChangeDAC,NOXChangeCost,CO2ChangeCost,RedCurtProp,SolarNonCurt,ChangeCurtCost
intervention hours,1048.5331181879194,1469.7373885127581,421.2042703248387,266.2274894451342,300.55573270890903,34.32824326377482,182.83249256765532,228.24972628078592,45.4172337131306,0.6534755805557444,0.8059186724802507,0.15244309192450625,0,3.343077005904422,2.2708616856565302,"NA","NA","NA"
peak period,304.9598429697987,429.53699920912953,124.57715623933089,69.26361513674496,102.22592498300773,32.96230984626277,65.67821448657169,118.88837791239634,53.21016342582466,0.23568779920161126,0.36199458467816903,0.12630678547655777,0.02210368745839761,2.7699078055009116,2.6605081712912333,"NA","NA","NA"
other,2659.6849114932884,3067.8799577999634,408.19504630667467,275.2171346944631,350.73502963802133,75.51789494355825,539.7570929543881,604.7953287161487,65.03823576176059,1.9822008563767688,2.214098058687903,0.231897202311134,0,5.085505646683169,3.2519117880880297,"NA","NA","NA"
Total,4013.1778726510065,4967.154345521851,953.9764728708442,610.7082392763423,753.5166873299381,142.80844805359584,788.267800008615,951.9334329093309,163.66563290071585,2.8713642361341245,3.3820113158463223,0.510647079712198,0,11.198490458088502,8.183281645035793,0.000939867060516244,0,-85.1537884235397
