Base_Hr,Changed_Hr,Elasticity
P,P,-0.22
P,MP,0.1
P,OP,0.12
MP,P,0.1
MP,MP,-0.17
MP,OP,0.07
OP,P,0.12
OP,MP,0.07
OP,OP,-0.19
