ELAST,HR24
-0.19,1
-0.15193128741457956,2
-0.11582083041659168,3
-0.08181292915033649,4
-0.05005188376011413,5
-0.02068199439022475,6
0.006152438815031469,7
0.03030711571135447,8
0.05163773615444403,9
0.07000000000000006,10
0.08531172338200814,11
0.09773918754759738,12
0.10751079002218256,13
0.1148549283311785,14
0.12,15
0.12287870853511448,16
0.12224098136719973,17
0.11654105190798611,18
0.10423315356920398,19
0.08377151976258371,20
0.05361716649502374,21
0.01238710946228825,22
-0.041145635950992854,23
-0.10820127176502162,24
-0.19,1
