Hr,P0,Period
1,0.09,SOP
2,0.09,SOP
3,0.09,SOP
4,0.09,SOP
5,0.09,SOP
6,0.09,SOP
7,0.09,SOP
8,0.09,SOP
9,0.17,OP
10,0.17,OP
11,0.17,OP
12,0.17,OP
13,0.36,P
14,0.36,P
15,0.36,P
16,0.36,P
17,0.36,P
18,0.36,P
19,0.17,OP
20,0.17,OP
21,0.17,OP
22,0.17,OP
23,0.17,OP
24,0.09,SOP
