ELAST,HR24
-0.17,12
-0.018338905869533323,13
0.06868899526159364,14
0.1,15
0.08544373022563541,16
0.03860310891177118,17
-0.026005615694990852,18
-0.09386619534804902,19
-0.1504623818008015,20
-0.18170772001380925,21
-0.18340099871237725,22
-0.16122625038655433,23
-0.12129730073355213,24
-0.06972797545058218,1
-0.012632100234856225,2
0.043876499216414205,3
0.09374765581687902,4
0.13239535053000262,5
0.1566977123690641,6
0.16359652895820403,7
0.15003358792156296,8
0.11295067688328145,9
0.04928958346750012,10
-0.04400790470164062,11
-0.17,12
