ELAST,HR24
-0.22,13
-0.14473518071065267,14
-0.08070842716028684,15
-0.02726090393144645,16
0.01626622439332459,17
0.050531793231482464,18
0.07619463800048318,19
0.09391359411778297,20
0.1043766167114158,21
0.1089414142527092,22
0.10963544855628411,23
0.1085153011473394,24
0.10763755355107399,1
0.10905878729268673,2
0.11483558389737654,3
0.12686522504126943,4
0.14338109587181574,5
0.15895268500778995,6
0.1679901812188938,7
0.16490377327482897,8
0.14410364994529715,9
0.1,10
0.027300427832100974,11
-0.07809779967138969,12
-0.22,13
