Hr,P0,Period
1,0.06,OP
2,0.06,OP
3,0.06,OP
4,0.06,OP
5,0.06,OP
6,0.06,OP
7,0.06,OP
8,0.06,OP
9,0.08,MP
10,0.08,MP
11,0.08,MP
12,0.08,MP
13,0.09,P
14,0.09,P
15,0.09,P
16,0.09,P
17,0.09,P
18,0.09,P
19,0.08,MP
20,0.08,MP
21,0.08,MP
22,0.08,MP
23,0.08,MP
24,0.06,OP
