ELAST,HR24
-0.19,8
-0.03378001995057495,9
0.07,10
0.12917786205777157,11
0.15351920062959723,12
0.15327160817253715,13
0.13868267714365135,14
0.11999999999999998,15
0.10547562388334124,16
0.09537941467422563,17
0.08798569293790176,18
0.08156877923961825,19
0.07440299414462373,20
0.06480442247477795,21
0.05204972695399799,22
0.03637614820825808,23
0.01806269112014368,24
-0.002611639427759771,1
-0.02536783855286684,2
-0.04992690137259205,3
-0.07600982300435,4
-0.10333759856555522,5
-0.13163122317362222,6
-0.16061169194596567,7
-0.19000000000000006,8
