ELAST,HR24
-0.17,10
-0.032945182332286216,11
0.056929091065578113,12
0.1052759556295855,13
0.11774854679572863,14
0.09999999999999995,15
0.058375834501977794,16
0.0019911048555823208,17
-0.05934675056168051,18
-0.11583029337230485,19
-0.1576520851987848,20
-0.17533849455135195,21
-0.16709344835820059,22
-0.13879843196548766,23
-0.09666873760710762,24
-0.04691965751695493,1
0.004233516071076027,2
0.05057549092309069,3
0.08594187548674617,4
0.10533899388538114,5
0.10494388591801627,6
0.08098449206522365,7
0.02968875280757538,8
-0.05271539137435653,9
-0.17,10
