ELAST,HR24
-0.19,5
-0.11516077877645768,6
-0.0526631622995839,7
-0.0015851564344812608,8
0.0389952329537476,9
0.07,10
0.09240186448058915,11
0.10737644873749147,12
0.11615010075409922,13
0.11994916851380465,14
0.12,15
0.11730004897944087,16
0.11193119235233626,17
0.10374641280225849,18
0.09259869301277993,19
0.07834101566747287,20
0.060831285906181407,21
0.04004062536300004,22
0.016053372166273623,23
-0.01104121309938122,24
-0.04115386984934785,1
-0.07419533749900967,2
-0.11007635546375008,3
-0.14870766315895237,4
-0.19000000000000006,5
