ELAST,HR24
-0.17,23
-0.046598664569945714,24
0.031728974169069446,1
0.07102472223711234,2
0.0773303856542499,3
0.056744548153323374,4
0.016671680860987144,5
-0.034177857702291675,6
-0.08703693130327142,7
-0.13313840370871047,8
-0.16371513868536725,9
-0.17,10
-0.14618427995153244,11
-0.09829298496754896,12
-0.03530955000779931,13
0.03378258996796693,14
0.09999999999999995,15
0.15510487636465975,16
0.1938419402827443,17
0.21170154421116127,18
0.2041740406068183,19
0.16674978192662304,20
0.09491912062748314,21
-0.01582759083369384,22
-0.17000000000000012,23
