Hr,P0,Period
1,0.05,OP
2,0.05,OP
3,0.05,OP
4,0.05,OP
5,0.05,OP
6,0.05,OP
7,0.05,OP
8,0.05,OP
9,0.12,MP
10,0.12,MP
11,0.12,MP
12,0.12,MP
13,0.29,P
14,0.29,P
15,0.29,P
16,0.29,P
17,0.29,P
18,0.29,P
19,0.12,MP
20,0.12,MP
21,0.12,MP
22,0.12,MP
23,0.12,MP
24,0.05,OP
