ELAST,HR24
-0.17,21
-0.04438842390968428,22
0.042179374903174444,23
0.09423233906785325,24
0.11629941121362916,1
0.11290953396977929,2
0.08859164996558092,3
0.04792804117782756,4
-0.003272205423801605,5
-0.05797319787674235,6
-0.10908570487091357,7
-0.14952049509623427,8
-0.17218833724262347,9
-0.17000000000000007,10
-0.13876151184149216,11
-0.08585994037306446,12
-0.021577612983890687,13
0.04380314293685539,14
0.1,15
0.13747827464703835,16
0.14969385864214146,17
0.1308502875801492,18
0.07515109705590159,19
-0.023200177335761435,20
-0.17,21
