Hr,P0,Period
1,0.13,OP
2,0.13,OP
3,0.13,OP
4,0.13,OP
5,0.13,OP
6,0.13,OP
7,0.13,OP
8,0.13,OP
9,0.13,OP
10,0.13,OP
11,0.13,OP
12,0.13,OP
13,0.13,OP
14,0.13,OP
15,0.13,OP
16,0.13,OP
17,0.42,P
18,0.42,P
19,0.42,P
20,0.42,P
21,0.42,P
22,0.13,OP
23,0.13,OP
24,0.13,OP
