ELAST,HR24
-0.19,6
-0.0987288167479345,7
-0.02615601202058282,8
0.02949479871706029,9
0.07,10
0.09723585377668698,11
0.11347813164935314,12
0.1211024826336758,13
0.12248455574533232,14
0.11999999999999998,15
0.1155834079567366,16
0.10940514634812173,17
0.10119452545011545,18
0.09068085553867777,19
0.07759344688976876,20
0.06167099715497886,21
0.04286811362539816,22
0.021355313231616338,23
-0.002687499720146508,24
-0.029080420923670303,1
-0.05764354607273495,2
-0.08819697086112033,3
-0.12056079098260636,4
-0.15455510213097295,5
-0.18999999999999995,6
