ELAST,HR24
-0.22,14
-0.138153351936337,15
-0.06951500879625705,16
-0.013186313681103318,17
0.03173139030778113,18
0.0661367600690532,19
0.09092845250136974,20
0.10702657553779316,21
0.11584461090271089,22
0.11928941411183562,23
0.11928929171528545,24
0.11777255026317847,1
0.11666749630563278,2
0.11790243639276649,3
0.12329004457562454,4
0.13198344742657017,5
0.14047622403928484,6
0.14514632100837682,7
0.14237168492845448,8
0.1285302623941261,9
0.1,10
0.053369008657595696,11
-0.013933943453922654,12
-0.10426992383847969,13
-0.22000000000000006,14
