ELAST,HR24
-0.22,15
-0.12837258487148992,16
-0.05307855818679644,17
0.00714094750242153,18
0.05354479964450523,19
0.08739186568779564,20
0.10995994010790063,21
0.12296213900756037,22
0.1285469001166475,23
0.12888158819230128,24
0.12613356799166098,1
0.12247020427186585,2
0.12005886179005515,3
0.12096663461666783,4
0.12495439102803502,5
0.1294767735063801,6
0.1318881538472261,7
0.12954290384609607,8
0.11979539529851303,9
0.10000000000000002,10
0.06768942786538573,11
0.021109741286721564,12
-0.04131465922463548,13
-0.12115937315732833,14
-0.22,15
