Hr,P0,Period
1,0.13,OP
2,0.13,OP
3,0.13,OP
4,0.13,OP
5,0.13,OP
6,0.13,OP
7,0.13,OP
8,0.13,OP
9,0.07,SOP
10,0.07,SOP
11,0.07,SOP
12,0.07,SOP
13,0.07,SOP
14,0.07,SOP
15,0.07,SOP
16,0.07,SOP
17,0.29,MP
18,0.29,MP
19,0.29,MP
20,0.29,MP
21,0.29,MP
22,0.13,OP
23,0.13,OP
24,0.13,OP
