ELAST,HR24
-0.19,7
-0.07481252669526768,8
0.010703747154339499,9
0.07,10
0.10673563273320948,11
0.12540293600673247,12
0.1307024229136507,13
0.12733460654704595,14
0.11999999999999998,15
0.11250470633786833,16
0.10507718851510157,17
0.09705149945842412,18
0.08776169209456036,19
0.07654181935023469,20
0.06274480057684535,21
0.0461574828932895,22
0.027000641185963153,23
0.005513916765936169,24
-0.01806304905572155,1
-0.04349061496794013,2
-0.07052913965964966,3
-0.09893898181978034,4
-0.1284805001372622,5
-0.15891405330102537,6
-0.19,7
