ELAST,HR24
-0.22,16
-0.114509523564047,17
-0.030190945196372054,18
0.03478759084792407,19
0.08225794031374059,20
0.11407196074868478,21
0.13254155116264926,22
0.14043865202781186,23
0.14055520561905854,24
0.13568315421127528,1
0.12861444007934797,2
0.12214100549816262,3
0.11895100669711531,4
0.11934552085933717,5
0.12123854612169425,6
0.12244029457556282,7
0.12076097831231913,8
0.11401080942333944,9
0.10000000000000002,10
0.0767200882014758,11
0.04288791645813661,12
-0.002598346731849055,13
-0.06084053287031274,14
-0.13294047345908588,15
-0.22,16
