ELAST,HR24
-0.17,9
-0.03329773591956567,10
0.06030115850623091,11
0.11561353129423776,12
0.13745623046130293,13
0.13064610402427437,14
0.10000000000000006,15
0.05099212944516357,16
-0.008273844424209587,17
-0.06903689535225851,18
-0.12253599708312232,19
-0.16001012336094003,20
-0.17302042216812405,21
-0.1605380489673754,22
-0.12894416670168327,23
-0.0849421125523104,24
-0.035235223700519513,1
0.013473162672426736,2
0.05447970938526553,3
0.08113112172506676,4
0.08792508175054983,5
0.07051024829208341,6
0.024585322648368754,7
-0.05415099388189276,8
-0.16999999999999993,9
